Name	Glottocode	Area	Longitude	Latitude	classification	Countries	Family_ID
Abadi	abad1241	NG area	146.992	-9.03389	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850	PG	aust1307
Abaga	abag1245	NG area	145.665	-6.12028	nucl1709/kain1273/goro1272/nucl1760/nucl1756/kama1374/unun9976	PG	nucl1709
Abau	abau1245	NG area	141.324	-3.97222	sepi1257	PG	sepi1257
Abinomn	abin1243	NG area	138.891	-2.92281	NA	ID	NA
Abom	abom1238	NG area	142.842	-8.42448	anim1240/tiri1259	PG	anim1240
Abu' Arapesh	abua1245	NG area	142.917031	-3.461612	nucl1708/komb1276/arap1279/mufi1239/buki1250	PG	nucl1708
Abui	abui1241	NG area	124.588	-8.31058	timo1261/alor1249/nucl1821/alor1250/abui1242	ID	timo1261
Abun	abun1252	NG area	132.416	-0.57073	NA	ID	NA
Abu	abuu1241	NG area	144.474	-4.24027	lowe1437/ramu1234/agoa1234	PG	lowe1437
Adabe	adab1235	NG area	125.576	-8.22674	book1242	ID;TL	book1242
Adang	adan1251	NG area	124.448	-8.18958	timo1261/alor1249/nucl1821/west2994/adan1252	ID	timo1261
Adonara	adon1237	NG area	123.159	-8.32027	aust1307/mala1545/bima1248/flor1239/lama1293/nort3216	ID	aust1307
Adzera	adze1240	NG area	146.294	-6.39394	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423	PG	aust1307
Aeka	aeka1244	NG area	147.99477	-8.855095	nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268	PG	nucl1709
Aekyom	aeky1238	NG area	141.532	-5.88478	kamu1264/awin1249	PG	kamu1264
Agarabi	agar1252	NG area	145.917	-6.20604	nucl1709/kain1273/kain1274/gauw1235/gads1260	PG	nucl1709
Aghu	aghu1255	NG area	140.043	-6.34674	nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234	ID	nucl1709
Agi	agii1245	NG area	142.387	-3.49104	nucl1708/wape1249/west2788/agiy1234	PG	nucl1708
Agob-Ende-Kawam	agob1244	NG area	142.532	-9.08521	paho1240	PG	paho1240
Aighon	aigh1235	NG area	150.272	-5.99488	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/pasi1254	PG	aust1307
Aiklep	aikl1237	NG area	149.571	-6.23575	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/west2530	PG	aust1307
Aimele	aime1238	NG area	142.656	-6.68656	bosa1245/bosa1246	PG	bosa1245
Ainbai	ainb1238	NG area	141.149	-3.09214	bord1247/bewa1242/pagi1245	PG	bord1247
Aiome	aiom1240	NG area	144.765	-5.13467	lowe1437/ramu1234/aian1241	PG	lowe1437
Airoran	airo1242	NG area	138.158	-1.8522	kwer1242/kwer1240/west1486	ID	kwer1242
Ak	akkk1240	NG area	141.784	-3.57026	sepi1257/yell1247	PG	sepi1257
Akolet	akol1237	NG area	150.182	-6.22711	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/east2763	PG	aust1307
Akoye	akoy1238	NG area	145.669	-7.66067	anga1289/nucl1763/sout3130/tain1255	PG	anga1289
Chini	akru1241	NG area	144.821	-4.88687	lowe1437/ramu1234/goam1234/tamo1242	PG	lowe1437
Alamblak	alam1246	NG area	143.316	-4.66307	sepi1257/sepi1258/east2496	PG	sepi1257
Alekano	alek1238	NG area	145.387	-6.03901	nucl1709/kain1273/goro1272/nucl1760/gahu1246	PG	nucl1709
Alorese	alor1247	NG area	124.264	-8.20382	aust1307/mala1545/bima1248/flor1239/lama1293	ID	aust1307
Alune	alun1238	NG area	128.394	-3.11477	aust1307/mala1545/nunu1252/thre1238/amal1243/nort3221/ulat1237	ID	aust1307
Amahai	amah1245	NG area	128.939	-3.32028	aust1307/mala1545/nunu1252/piru1243/east2752/sole1243/sera1270/ulia1238/hatu1247/hatu1244/elpa1239	ID	aust1307
Amaimon	amai1246	NG area	145.368	-5.18742	nucl1709/mada1298/croi1234	PG	nucl1709
Amal	amal1242	NG area	141.995	-4.04517	sepi1257	PG	sepi1257
Amam	amam1246	NG area	146.92	-7.9	kuni1270/weri1254	PG	kuni1270
Amanab	aman1265	NG area	141.178	-3.51516	bord1247/wari1265	ID;PG	bord1247
Ama (Papua New Guinea)	amap1240	NG area	141.658	-4.20192	left1242/nucl1244	PG	left1242
Amara	amar1272	NG area	148.68	-5.55778	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874	PG	aust1307
Amarasi	amar1273	NG area	123.96373	-10.21751	aust1307/mala1545/timo1265/rote1234/west2955/deng1254/uabm1238	ID	aust1307
Ambai	amba1265	NG area	136.526	-1.88126	aust1307/mala1545/east2712/sout3229/cend1238/yape1249/cent2277/ansu1238	ID	aust1307
Ambakich	amba1269	NG area	144.285	-4.23181	kera1258/east2864	PG	kera1258
Ambermo	ambe1246	NG area	137.903651	-1.763355	uncl1493	ID	uncl1493
Ambelau	ambe1248	NG area	127.196	-3.85919	aust1307/mala1545/west2817	ID	aust1307
Ambonese Malay	ambo1250	NG area	128.184	-3.71342	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/vehi1234/east2743/ambo1253	ID	aust1307
Ambrak	ambr1239	NG area	142.56	-3.61	nucl1708/wape1249/cent2407/nucl1722/yang1294	PG	nucl1708
Ambulas	ambu1247	NG area	143.059	-3.7801	nduu1242/nucl1642/ambu1246	PG	nduu1242
Amele	amel1241	NG area	145.687	-5.29126	nucl1709/mada1298/croi1234/mabu1247/gumm1240	PG	nucl1709
Mol	amol1235	NG area	142.532	-3.46843	nucl1708/wape1249/cent2407/nucl1722/brag1241	PG	nucl1708
Amto	amto1250	NG area	141.339	-4.12165	amto1249	PG	amto1249
Anakalangu	anak1240	NG area	119.605	-9.63425	aust1307/mala1545/bima1248/flor1240/sumb1242/sumb1243/kamb1320/cent2307	ID	aust1307
Anam	anam1247	NG area	145.051	-4.68869	nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272	PG	nucl1709
Anamuxra	anam1248	NG area	144.991	-4.63762	nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272/anam1250	PG	nucl1709
Anasi	anas1239	NG area	137.716	-1.73908	book1242	ID	book1242
Andai	anda1283	NG area	143.637	-4.96449	araf1243	PG	araf1243
Andarum	anda1284	NG area	144.767	-4.48734	lowe1437/ramu1234/goam1234/tang1354	PG	lowe1437
Andra-Hus	andr1248	NG area	147.085	-2.05894	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/east2460	PG	aust1307
Aneme Wake	anem1248	NG area	148.479	-9.75911	yare1250/dori1247	PG	yare1250
Anem	anem1249	NG area	148.993	-5.54836	NA	PG	NA
Angaataha	anga1290	NG area	146.352	-7.15012	anga1289	PG	anga1289
Angal Heneng	anga1292	NG area	143.478	-6.13347	nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314	PG	nucl1709
Angal	anga1293	NG area	143.592	-6.0127	nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314	PG	nucl1709
Angal Enen	anga1294	NG area	143.583	-6.23296	nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314	PG	nucl1709
Angguruk Yali	angg1239	NG area	139.457	-4.0836	nucl1709/dani1287/ngal1299/yali1257	ID	nucl1709
Angor	ango1254	NG area	141.199	-3.7167	sena1264	PG	sena1264
Angoram	ango1255	NG area	144.028	-4.07758	lowe1437/lowe1423	PG	lowe1437
Anjam	anja1238	NG area	145.717	-5.45899	nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332	PG	nucl1709
Ankave	anka1246	NG area	145.754	-7.19444	anga1289/nucl1763/sout3130	PG	anga1289
Anor	anor1241	NG area	144.801	-4.98449	lowe1437/ramu1234/aian1241	PG	lowe1437
Ansus	ansu1237	NG area	135.866	-1.7543	aust1307/mala1545/east2712/sout3229/cend1238/yape1249/cent2277/ansu1238	ID	aust1307
Anuki	anuk1239	NG area	149.822	-9.6692	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848	PG	aust1307
Korur	anus1237	NG area	139.502	-2.2627100000000002	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242/anus1238	ID	aust1307
Apalik	apal1255	NG area	149.96	-6.29002	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/west2530	PG	aust1307
Apali	apal1256	NG area	145.023	-5.1727	nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258	PG	nucl1709
Ap Ma	apma1241	NG area	144.085	-4.35147	kera1258/east2864	PG	kera1258
Aputai	aput1237	NG area	126.496	-7.84732	aust1307/mala1545/timo1265/weta1246/weta1245/pera1258/pera1259	ID	aust1307
Arafundi-Enga Pidgin	araf1245	NG area	143.298006	-5.101836	pidg1258/enga1255	PG	pidg1258
Arammba	aram1253	NG area	141.445	-8.29593	more1255/more1256/tond1250	PG	more1255
Dombano	aran1237	NG area	132.983	-2.08016	sout1516/east1439/kemb1251	ID	sout1516
Arawum	araw1272	NG area	145.903	-5.52787	nucl1709/mada1298/raic1241/kabe1245	PG	nucl1709
Are	aree1239	NG area	149.999	-9.67147	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/ared1234	PG	aust1307
Arguni	argu1237	NG area	132.5556	-2.645798	aust1307/mala1545/tani1260/east2900/bomb1263	ID	aust1307
Aribwaung	arib1240	NG area	146.919	-6.65252	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	PG	aust1307
Aribwatsa	arib1241	NG area	146.991	-6.72266	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	PG	aust1307
Arifama-Miniafia	arif1239	NG area	149.246	-9.15565	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235	PG	aust1307
Ari	arii1243	NG area	142.4	-7.95526	suki1244/gogo1264/ariw1234	PG	suki1244
Arop-Sissano	arop1242	NG area	142.12	-3.06984	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/siau1243/siss1244/sera1271/siss1245	PG	aust1307
Arop-Lokep	arop1243	NG area	147.103	-5.31671	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/kora1297	PG	aust1307
Aruamu	arua1260	NG area	144.842	-4.28957	lowe1437/ramu1234/lowe1439/kire1239/mika1254	PG	lowe1437
Aruek	arue1240	NG area	142.715	-3.37841	nucl1708/komb1276/komb1271/unun9968	PG	nucl1708
Srenge	aruo1240	NG area	142.478	-3.45782	nucl1708/wape1249/cent2407/nucl1722/brag1241	PG	nucl1708
Asaro'o	asar1240	NG area	146.508	-5.68263	nucl1709/fini1244/fini1245/waru1269/nucl1777/mole1240	PG	nucl1709
Asilulu	asil1242	NG area	127.952	-3.67302	aust1307/mala1545/nunu1252/piru1243/west2843	ID	aust1307
Askopan	asko1238	NG area	155.307	-6.22539	nort2933/roto1248	PG	nort2933
As	asss1237	NG area	131.728	-0.75267	aust1307/mala1545/east2712/sout3229/raja1255	ID	aust1307
Asue Awyu	asue1235	NG area	139.123	-5.98341	nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264	ID	nucl1709
Mand	atem1241	NG area	144.806	-5.08137	nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241	PG	nucl1709
Atohwaim	atoh1238	NG area	138.666	-6.27123	kaya1327	ID	kaya1327
'Auhelawa	auhe1237	NG area	151.002	-10.0959	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	PG	aust1307
Au	auuu1241	NG area	142.105	-3.53277	nucl1708/wape1249/cent2407/wape1250/auol1234	PG	nucl1708
Auwe	auwe1239	NG area	141.254	-3.33662	bord1247/wari1265/nucl1773/simo1242	PG	bord1247
Auye	auye1238	NG area	136.096	-3.43705	nucl1709/pani1259/auye1239	ID	nucl1709
Avaipa	avai1234	NG area	155.39	-6.211	sout2948/nasi1247/nasi1248/sime1243	PG	sout2948
Avau	avau1237	NG area	150.427	-6.24342	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/east2763	PG	aust1307
Awad Bing	awad1244	NG area	146.355	-5.59896	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/astr1247	PG	aust1307
Awa (Papua New Guinea)	awap1236	NG area	145.714	-6.65534	nucl1709/kain1273/kain1274/gauw1235/awao1234	PG	nucl1709
Awara	awar1248	NG area	146.372	-6.16986	nucl1709/fini1244/fini1245/want1251/want1253	PG	nucl1709
Awar	awar1249	NG area	144.836	-4.13554	lowe1437/ramu1234/lowe1439/wagg1235/bosn1247	PG	lowe1437
Awbono	awbo1238	NG area	139.724	-5.05875	bayo1259	ID	bayo1259
Awera	awer1241	NG area	136.063	-2.71886	lake1255/farw1236	ID	lake1255
Awiakay-Karimba	awia1234	NG area	143.71036	-4.67314	araf1243	PG	araf1243
Awiyaana	awiy1238	NG area	145.76	-6.54079	nucl1709/kain1273/kain1274/gauw1235/auya1234	PG	nucl1709
Awtuw	awtu1239	NG area	141.928	-3.53129	sepi1257/ramm1241	PG	sepi1257
Auwon	awun1245	NG area	141.999	-3.79671	sepi1257/yell1247	PG	sepi1257
Awyi	awyi1241	NG area	140.604	-3.00564	bord1247/taik1254	ID	bord1247
Ayi (Papua New Guinea)	ayip1235	NG area	142.407	-3.95946	sepi1257/sepi1256/mayo1278/yimi1235	PG	sepi1257
Babatana	baba1268	NG area	157.149	-7.22281	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/choi1242/east2760/sout3208	SB	aust1307
Bacanese Malay	baca1243	NG area	127.49	-0.62275	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/east2755/banj1240/bera1266/brun1252/brun1246	ID	aust1307
Ngkontar Baedi	badi1247	NG area	140.753	-8.85301	more1255/kanu1280/ngkr1234/ngka1236	ID	more1255
Bagusa	bagu1251	NG area	137.914	-1.98844	kwer1242/kwer1240/kwer1262	ID	kwer1242
Bagupi	bagu1252	NG area	145.632	-5.07778	nucl1709/mada1298/croi1234/mabu1247/hans1243/silo1242	PG	nucl1709
Baham	baha1258	NG area	132.637	-3.10628	west2604/nucl1641	ID	west2604
Bahinemo	bahi1254	NG area	142.832	-4.55527	sepi1257/sepi1258/cent2234/bahi1255	PG	sepi1257
Baibai	baib1251	NG area	141.345	-3.42672	baib1250	PG	baib1250
Baikeno	baik1238	NG area	124.256	-9.32991	aust1307/mala1545/timo1265/rote1234/west2955/deng1254/uabm1238/nort3357	ID;TL	aust1307
Baimak	baim1245	NG area	145.606	-5.18943	nucl1709/mada1298/croi1234/mabu1247/hans1243/garu1247	PG	nucl1709
Bai-Maclay	baim1246	NG area	146.44581	-5.64319	nucl1709/mada1298/raic1241/yaga1258	PG	nucl1709
Baliledu-Buawa	bali1287	NG area	119.49165	-9.56709	aust1307/mala1545/bima1248/flor1240/sumb1242/sumb1243/kamb1320/cent2307	ID	aust1307
Paluai	balu1257	NG area	147.282	-2.5604	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/sout2879/loup1244	PG	aust1307
Bamu	bamu1257	NG area	143.545	-7.93818	kiwa1251	PG	kiwa1251
Banaro	bana1292	NG area	144.329	-4.56615	lowe1437/ramu1234	PG	lowe1437
Banda Malay	band1353	NG area	129.905	-4.55565	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/vehi1234/east2743/ambo1253	ID	aust1307
Banda (Indonesia)	band1355	NG area	133.142	-5.42138	aust1307/mala1545/grea1302/band1354	ID	aust1307
Bannoni	bann1247	NG area	155.128	-6.23061	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/piva1237	PG	aust1307
Barakai	bara1367	NG area	134.671	-6.7394	aust1307/mala1545/aruu1241/kare1350	ID	aust1307
Barapasi	bara1375	NG area	137.054	-2.28732	geel1240/bara1399	ID	geel1240
Baramu	bara1378	NG area	143.002	-8.4885	anim1240/tiri1259/nucl1713	PG	anim1240
Bargam	barg1252	NG area	145.756	-4.8723	nucl1709/mada1298/croi1234	PG	nucl1709
Bariai	bari1286	NG area	148.666	-5.5087	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/nger1240/east2772	PG	aust1307
Bariji	bari1290	NG area	148.454	-9.231	yare1250/yare1251	PG	yare1250
Barikewa	bari1298	NG area	143.99279	-7.09739	tura1263/tura1264	PG	tura1263
Barok	baro1253	NG area	152.193	-3.47672	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/mada1284	PG	aust1307
Baruya	baru1267	NG area	145.818	-6.89261	anga1289/nucl1763/baru1271	PG	anga1289
Baruga	baru1269	NG area	148.761	-9.40132	nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/baru1268	PG	nucl1709
Batanta	bata1295	NG area	130.646	-0.862394	aust1307/mala1545/east2712/sout3229/raja1255/sala1285	ID	aust1307
Bati (Indonesia)	bati1253	NG area	130.815	-3.61403	aust1307/mala1545/grea1302/band1354/gese1239/gese1241	ID	aust1307
Batuley	batu1258	NG area	134.784314	-5.814412	aust1307/mala1545/aruu1241/batu1262	ID	aust1307
Bau	bauu1244	NG area	145.611	-5.26465	nucl1709/mada1298/croi1234/mabu1247/gumm1240/pani1263	PG	nucl1709
Bauwaki	bauw1240	NG area	148.815	-9.82577	mail1249/bauw1241	PG	mail1249
Bauzi	bauz1241	NG area	137.629	-2.44717	geel1240	ID	geel1240
Bayono	bayo1260	NG area	139.617	-5.21728	bayo1259	ID	bayo1259
Beami	beam1240	NG area	142.508	-6.14949	bosa1245/etor1234	PG	bosa1245
Bebeli	bebe1252	NG area	150.323	-5.63282	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/bebe1254	PG	aust1307
Bedoanas	bedo1237	NG area	132.566	-2.74438	aust1307/mala1545/tani1260/east2900/bomb1263	ID	aust1307
Beli (Papua New Guinea)	beli1258	NG area	142.34	-3.67881	nucl1708	PG	nucl1708
Benabena	bena1264	NG area	145.534	-6.09974	nucl1709/kain1273/goro1272/nucl1760/nucl1756	PG	nucl1709
Benggoi	beng1287	NG area	130.091	-3.13924	aust1307/mala1545/grea1302/east2741/seti1249	ID	aust1307
Bepour	bepo1240	NG area	145.442	-4.5985	nucl1709/mada1298/croi1234/grea1298/nort3379/kumi1250/kumi1249	PG	nucl1709
Berinomo	beri1253	NG area	142.463	-4.41689	sepi1257/sepi1258/cent2234/bahi1255	PG	sepi1257
Berik	beri1254	NG area	138.866	-2.26904	toro1256/tora1268	ID	toro1256
Betaf	beta1253	NG area	139.255	-2.12422	toro1256/tora1268/coas1312/beta1259	ID	toro1256
Biage	biag1234	NG area	147.6533	-8.8794	koia1260/koia1261/biag1235	PG	koia1260
Biak	biak1248	NG area	135.879	-0.9523	aust1307/mala1545/east2712/sout3229/cend1238/biak1249/biak1250	ID	aust1307
Bian Marind	bian1251	NG area	140.568	-7.35942	anim1240/mari1437/nucl1621	ID	anim1240
Biangai	bian1252	NG area	146.765	-7.33882	kuni1270	PG	kuni1270
Biem	biem1237	NG area	144.816	-3.61342	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/mana1294/bamm1241	PG	aust1307
Biga	biga1238	NG area	130.272	-1.99574	aust1307/mala1545/east2712/sout3229/raja1255/ambe1249	ID	aust1307
Bikaru-Bragge	bika1251	NG area	142.945	-4.86	book1242	PG	book1242
Karen	bila1257	NG area	145.559	-4.93116	nucl1709/mada1298/croi1234/grea1298/nort3379/numu1240/kari1319	PG	nucl1709
Bilibil	bilb1241	NG area	145.764	-5.26505	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510	PG	aust1307
Bilba	bilb1242	NG area	123.307	-10.6503	aust1307/mala1545/timo1265/rote1234/east2858/cent2375/east2859	ID	aust1307
Bilur	bilu1244	NG area	152.334	-4.39732	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/labe1241	PG	aust1307
Bilua	bilu1245	NG area	156.663	-7.92388	NA	PG;SB	NA
Bima	bima1247	NG area	118.445	-8.57376	aust1307/mala1545/bima1248	ID	aust1307
Bimin	bimi1240	NG area	142.04	-5.38732	nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253/divi1235	PG	nucl1709
Bina (Papua New Guinea)	bina1271	NG area	149.661	-10.2667	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/oumi1237/mago1247	PG	aust1307
Binahari-Ma	bina1274	NG area	148.723092	-10.133855	mail1249/bina1273	PG	mail1249
Binahari-Neme	bina1275	NG area	148.835	-10.0874	mail1249/bina1273	PG	mail1249
Binandere	bina1277	NG area	147.884	-8.37433	nucl1709/bina1276/bina1279/nucl1603	PG	nucl1709
Bine	bine1240	NG area	142.893	-9.08879	east2503	PG	east2503
Binumarien	binu1245	NG area	146.102	-6.22068	nucl1709/kain1273/kain1274/tair1260	PG	nucl1709
Bipi	bipi1237	NG area	146.398	-2.11115	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/west2533/west2848	PG	aust1307
Biritai	biri1259	NG area	137.68	-2.92042	lake1255/tari1255/east2502/erit1238	ID	lake1255
Bisis	bisi1244	NG area	143.058	-4.46238	sepi1257/sepi1258/cent2234/nucl1586	PG	sepi1257
Bisorio	biso1243	NG area	143.213	-4.77763	nucl1709/enga1254/enga1251/oute1259	PG	nucl1709
Bitur	bitu1242	NG area	142.71	-8.51839	anim1240/tiri1259/nucl1713	PG	anim1240
Biwat	biwa1243	NG area	143.873	-4.39429	yuat1252/miya1267/bunm1234	PG	yuat1252
Biyom	biyo1244	NG area	145.348	-5.79929	nucl1709/mada1298/raic1241/unun9972	PG	nucl1709
Blablanga	blab1237	NG area	159.419	-8.15058	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/cent2063/zaza1247	SB	aust1307
Mblafe-Ránmo	blaf1238	NG area	141.226	-8.56161	more1255/more1256/tond1250	PG	more1255
Blagar	blag1240	NG area	124.251	-8.31787	timo1261/alor1249/nucl1821/west2994/kaer1235/blag1241	ID	timo1261
Boano (Maluku)	boan1242	NG area	127.953	-2.95535	aust1307/mala1545/nunu1252/piru1243/west2843/hoam1238/east2468	ID	aust1307
Bobot	bobo1254	NG area	130.179	-3.43514	aust1307/mala1545/grea1302/east2741/east2748	ID	aust1307
Bogaya	boga1247	NG area	142.255	-5.54487	NA	PG	NA
Boikin	boik1241	NG area	143.474	-3.68297	nduu1242	PG	nduu1242
Bola	bola1250	NG area	150.095	-5.55792	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/will1243/bola1253	PG	aust1307
Bonerif	bone1255	NG area	139.208	-2.09529	toro1256/tora1268/coas1312	ID	toro1256
Bonggo	bong1287	NG area	139.576	-2.28044	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242	ID	aust1307
Bongu	bong1291	NG area	145.806	-5.50519	nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332	PG	nucl1709
Bonkiman	bonk1244	NG area	146.738	-5.84007	nucl1709/fini1244/fini1245/yupn1242/kewi1241	PG	nucl1709
Bo (Papua New Guinea)	bopa1235	NG area	141.45	-4.32114	left1242/nucl1244/iter1240	PG	left1242
Borei	bore1247	NG area	144.715	-4.08697	lowe1437/ramu1234/lowe1439/wagg1235	PG	lowe1437
Borong	boro1279	NG area	147.511	-6.56688	nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246	PG	nucl1709
Boselewa	bose1237	NG area	150.693	-9.44763	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240/bose1238	PG	aust1307
Bosngun	bosn1248	NG area	144.647	-4.16201	lowe1437/ramu1234/lowe1439/wagg1235/bosn1247	PG	lowe1437
Bo-Ung	boun1245	NG area	144.086	-5.8626	nucl1709/cent2120/hage1248/melp1239	PG	nucl1709
Bouni-Bobe	boun1246	NG area	141.932259	-3.067293	skoo1245/skou1238/lago1243	PG	skoo1245
Manus Koro	bowa1234	NG area	147.14267	-2.03429	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/east2460/koro1314	PG	aust1307
Bragat	brag1240	NG area	142.495	-3.48707	nucl1708/wape1249/cent2407/nucl1722/brag1241	PG	nucl1708
Barem	brem1238	NG area	145.562	-4.67372	nucl1709/mada1298/croi1234/grea1298/nort3379/mane1269	PG	nucl1709
Breri	brer1240	NG area	144.707	-4.73271	lowe1437/ramu1234/goam1234/tamo1242/brer1241	PG	lowe1437
Budibud	budi1249	NG area	153.689	-9.29802	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/kili1270/kili1266	PG	aust1307
Bugawac	buga1250	NG area	147.32	-6.67519	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/nort2858	PG	aust1307
Bughotu	bugh1239	NG area	159.802	-8.47948	aust1307/mala1545/east2712/ocea1241/sout2853/guad1241/nucl1470/ngge1240	SB	aust1307
Buhutu	buhu1237	NG area	150.18	-10.5074	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	PG	aust1307
Bukiyip	buki1249	NG area	143.111	-3.47169	nucl1708/komb1276/arap1279/mufi1239/buki1250	PG	nucl1708
Bulgebi	bulg1265	NG area	146.403	-5.69713	nucl1709/fini1244/fini1245/waru1269/nucl1777/uncl1512	PG	nucl1709
Buli (Indonesia)	buli1255	NG area	128.443	1.0008	aust1307/mala1545/east2712/sout3229/raja1255/sout3231/cent2270	ID	aust1307
Bulu (Papua New Guinea)	bulu1253	NG area	150.101	-5.06134	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/will1243/bola1253	PG	aust1307
Bumbita Arapesh	bumb1241	NG area	142.859	-3.65508	nucl1708/komb1276/arap1279	PG	nucl1708
Bunama	buna1276	NG area	151.066	-10.0761	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240/buna1279	PG	aust1307
Buna	buna1277	NG area	144.119	-3.95553	nucl1708/mari1433	PG	nucl1708
Bunak	buna1278	NG area	125.216	-9.13618	timo1261	ID;TL	timo1261
Bungain	bung1270	NG area	143.796	-3.69674	nucl1708/mari1433	PG	nucl1708
Bun	bunn1240	NG area	143.892	-4.51885	yuat1252/miya1267/bunm1234	PG	yuat1252
Burate	bura1276	NG area	136.038	-2.79301	geel1240/bura1294	ID	geel1240
Burmeso	burm1264	NG area	138.203	-2.47582	NA	ID	NA
Buru (Indonesia)	buru1303	NG area	126.632	-3.43957	aust1307/mala1545/west2817/sula1247/buru1322	ID	aust1307
Burum-Mindik	buru1306	NG area	147.333	-6.51663	nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246	PG	nucl1709
Burumakok	buru1307	NG area	140.03	-5.12217	nucl1709/cent2116/awyu1265/okok1235/okkk1242/kwer1266/kwer1267	ID	nucl1709
Buruwai	buru1308	NG area	133.327	-3.54561	nucl1709/cent2116/asma1256/saba1280	ID	nucl1709
Burui	buru1309	NG area	143.015	-4.03527	nduu1242/nucl1642/sawo1235/bund1258	PG	nduu1242
Busami	busa1254	NG area	136.032	-1.73681	aust1307/mala1545/east2712/sout3229/cend1238/yape1249/cent2277/cent2308/seru1248	ID	aust1307
Butam	buta1242	NG area	152.245674	-4.471696	taul1250	PG	taul1250
