Name	Glottocode	Area	Longitude	Latitude	classification	Countries	Family_ID
Meakambut	meak1234	NG area	143.783	-4.833	araf1243/uncl1510	PG	araf1243
Medebur	mede1237	NG area	145.425	-4.49918	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/mana1294	PG	aust1307
Mehek	mehe1243	NG area	142.498	-3.70927	sepi1257/sepi1256/mehe1244	PG	sepi1257
Mehek Sign Language	mehe1245	NG area	142.5109	-3.72792	sign1238/vill1244	PG	sign1238
Mekeo	meke1243	NG area	146.586	-8.23853	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850/nucl1506	PG	aust1307
Mekmek	mekm1240	NG area	143.75	-4.47017	yuat1252	PG	yuat1252
Mekwei	mekw1241	NG area	140.326	-2.52264	nimb1257/oute1261	ID	nimb1257
Melpa	melp1238	NG area	144.34	-5.62644	nucl1709/cent2120/hage1248/melp1239	PG	nucl1709
Mende (Papua New Guinea)	mend1268	NG area	142.683	-3.67233	sepi1257/nuku1256/kwan1286	PG	sepi1257
Mengen	meng1267	NG area	151.373	-5.47036	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/meng1266/mamu1256	PG	aust1307
Menya	meny1245	NG area	146.071	-7.17425	anga1289/nucl1763/kapa1251	PG	anga1289
Meoswar	meos1237	NG area	134.378	-2.07828	aust1307/mala1545/east2712/sout3229/cend1238/biak1249	ID	aust1307
Meramera	mera1242	NG area	151.528	-4.97468	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/will1243/naka1266	PG	aust1307
Meriam	meri1244	NG area	143.773	-9.59575	east2503	AU	east2503
Mer	merr1239	NG area	134.731	-3.3828	mair1253	ID	mair1253
Mese	mese1244	NG area	147.137	-6.56072	nucl1709/fini1244/huon1246/west2795/rawl1234/naba1257	PG	nucl1709
Meyah	meya1236	NG area	133.618	-1.18016	east1459/meax1236	ID	east1459
Miani	mian1254	NG area	145.276	-4.42116	nucl1709/mada1298/croi1234/grea1298/nort3379/kauk1240	PG	nucl1709
Mian	mian1256	NG area	141.523	-4.70881	nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253/mian1255	PG	nucl1709
Middle Watut	midd1327	NG area	146.399126	-6.88249	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/watu1246	PG	aust1307
Mid Grand Valley Dani	midg1235	NG area	138.945	-4.06322	nucl1709/dani1287/cent2233/gran1246	ID	nucl1709
Migabac	miga1241	NG area	147.713	-6.33237	nucl1709/fini1244/huon1246/east2705/tran1296/huon1247/moma1244	PG	nucl1709
Minaveha	mina1269	NG area	150.501	-9.59922	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/taup1241	PG	aust1307
Minanibai-Foia Foia	mina1274	NG area	144.011	-7.61717	anim1240/inla1262/west2867	PG	anim1240
Mindiri	mind1255	NG area	146.15	-5.5	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/astr1247	PG	aust1307
Minigir	mini1251	NG area	152.005	-4.31803	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/patp1244/mini1257	PG	aust1307
Minidien	mini1253	NG area	142.33	-3.59408	nucl1708/wape1249/cent2407/wape1250	PG	nucl1708
Misima-Paneati	misi1243	NG area	152.696	-10.6821	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/kili1270	PG	aust1307
Miu	miuu1237	NG area	149.557	-5.88037	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/pasi1254	PG	aust1307
Mlap	mlap1238	NG area	140.264	-2.57316	nimb1257/oute1261/mlap1239	ID	nimb1257
Modole	modo1249	NG area	127.752	1.40199	nort2923/nort2924/main1282/kaor1242	ID	nort2923
Moere	moer1240	NG area	145.458	-4.62246	nucl1709/mada1298/croi1234/grea1298/nort3379/kumi1250/kumi1249	PG	nucl1709
Moi (Indonesia)	moii1235	NG area	131.52	-0.96532	west1493/sege1236	ID	west1493
Moikodi	moik1239	NG area	148.312	-9.60232	yare1250/dori1247	PG	yare1250
Mokerang	moke1240	NG area	147.423	-2.01602	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/moko1244	PG	aust1307
Moksela	moks1249	NG area	128.654	-3.098	unat1236	ID	unat1236
Molet	mole1239	NG area	146.525207	-5.663114	nucl1709/fini1244/fini1245/waru1269/nucl1777/mole1240	PG	nucl1709
Molima	moli1248	NG area	150.614	-9.57457	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/bwai1241	PG	aust1307
Molmo One	molm1235	NG area	141.806	-3.38127	nucl1708/west2580/onee1245/cent2238	PG	nucl1708
Molof	molo1262	NG area	140.557	-3.41946	NA	ID	NA
Momare	moma1243	NG area	147.79	-6.3409	nucl1709/fini1244/huon1246/east2705/tran1296/huon1247/moma1244	PG	nucl1709
Momina	momi1242	NG area	139.821	-4.812	soma1242	ID	soma1242
Momuna	momu1241	NG area	139.26	-5.04431	soma1242	ID	soma1242
Mondropolon	mond1265	NG area	146.931	-2.01359	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/west2533/west2849	PG	aust1307
Mwakai	mong1344	NG area	143.965	-4.30038	kera1258/mong1343/mwak1234	PG	kera1258
Moni	moni1261	NG area	136.886	-3.72962	nucl1709/pani1259	ID	nucl1709
Mono-Alu	mono1273	NG area	155.76	-7.05102	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/mono1280	SB	aust1307
Moraid	mora1239	NG area	131.965	-1.04083	west1493/sout1499	ID	west1493
Morawa	mora1273	NG area	148.671	-10.1321	mail1249	PG	mail1249
Mor (Bomberai Peninsula)	morb1239	NG area	132.845	-2.85747	NA	ID	NA
Moresada	more1258	NG area	144.988	-4.57497	nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272/anam1250	PG	nucl1709
Morigi	mori1271	NG area	143.88	-7.62961	kiwa1251/tura1266	PG	kiwa1251
Mor (Mor Islands)	morm1235	NG area	135.95	-2.87055	aust1307/mala1545/east2712/sout3229	ID	aust1307
Marori	moro1289	NG area	140.688	-8.5692	NA	ID	NA
Mosimo	mosi1248	NG area	145.605	-4.95226	nucl1709/mada1298/croi1234/mabu1247/hans1243/wama1249	PG	nucl1709
Moskona	mosk1236	NG area	133.145	-1.62201	east1459/meax1236	ID	east1459
Motu	motu1246	NG area	147.424	-9.67492	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850	PG	aust1307
Mouk-Aria	mouk1239	NG area	149.158	-5.71155	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/bibl1237	PG	aust1307
Mountain Koiali	moun1252	NG area	147.384	-9.06973	koia1260/koia1261/biag1235	PG	koia1260
Mouwase	mouw1234	NG area	143.808	-7.442	tura1263/tura1264	PG	tura1263
Mpur	mpur1239	NG area	133.166	-0.7489	NA	ID	NA
Mubami	muba1238	NG area	142.998	-7.5501	anim1240/inla1262/west2867	PG	anim1240
Muduapa	mudu1242	NG area	149.489	-4.69751	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/bali1280	PG	aust1307
Mufian	mufi1238	NG area	142.955	-3.57932	nucl1708/komb1276/arap1279/mufi1239	PG	nucl1708
Mulaha	mula1254	NG area	147.45	-9.68333	kwal1257	PG	kwal1257
Mum	mumm1238	NG area	145.059	-4.83462	nucl1709/mada1298/kala1403/sout3148/soge1235/sika1264	PG	nucl1709
Munggui	mung1269	NG area	135.918	-1.66773	aust1307/mala1545/east2712/sout3229/cend1238/yape1249/cent2277/cent2308	ID	aust1307
Mungkip	mung1272	NG area	146.747	-6.46208	nucl1709/fini1244/fini1245/erap1240/boan1245	PG	nucl1709
Munit	muni1257	NG area	145.548	-5.24329	nucl1709/mada1298/croi1234/mabu1247/koko1271	PG	nucl1709
Muratayak	mura1271	NG area	146.54	-5.74416	nucl1709/fini1244/fini1245/waru1269/nucl1777	PG	nucl1709
Murik (Papua New Guinea)	muri1260	NG area	144.166	-3.86959	lowe1437/lowe1423/norr1244	PG	lowe1437
Murkim	murk1238	NG area	140.913	-4.07548	lepk1239	ID	lepk1239
Mur Pano	murp1234	NG area	146.522	-5.6642	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/kora1297	PG	aust1307
Murupi	muru1273	NG area	145.606	-5.0245	nucl1709/mada1298/croi1234/mabu1247/hans1243/wama1249	PG	nucl1709
Hember Avu	musa1265	NG area	145.413	-4.70258	nucl1709/mada1298/croi1234/grea1298/nort3379/kumi1250/tibo1244/tibo1243	PG	nucl1709
Aisi	musa1266	NG area	145.197	-5.37407	nucl1709/mada1298/kala1403/sout3148/soge1235/east2767/aisi1234	PG	nucl1709
Musom	muso1238	NG area	146.93	-6.53817	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245/muso1239	PG	aust1307
Mussau-Emira	muss1246	NG area	149.624	-1.44105	aust1307/mala1545/east2712/ocea1241/stma1240	PG	aust1307
Mutu	mutu1242	NG area	148.014	-5.79405	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/nger1240/west2862/tuam1243	PG	aust1307
Muyuw	muyu1244	NG area	152.731	-9.195	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/peri1258/kili1270/kili1266/kili1271	PG	aust1307
Mwatebu	mwat1237	NG area	151.066	-10.0271	aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/dobu1240/buna1279	PG	aust1307
Naasioi	naas1242	NG area	155.632	-6.46022	sout2948/nasi1247/nasi1248/sout3363/cent2394	PG	sout2948
Nabak	naba1256	NG area	146.966	-6.42709	nucl1709/fini1244/huon1246/west2795/rawl1234/naba1257	PG	nucl1709
Nabi-Metan	nabi1239	NG area	142.329	-3.52828	nucl1708/wape1249/cent2407/wape1250	PG	nucl1708
Nafi	nafi1237	NG area	146.815	-6.43306	aust1307/mala1545/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245/muso1239	PG	aust1307
Nafri	nafr1241	NG area	140.727	-2.65036	sent1261/nucl1631/sent1262	ID	sent1261
Nage	nage1237	NG area	121.31	-8.70513	aust1307/mala1545/bima1248/flor1240/flor1241/ngad1265/ngad1266/ende1245/nage1238	ID	aust1307
Nai	naii1241	NG area	141.273	-3.73034	kwom1263	PG	kwom1263
Nakanai	naka1262	NG area	150.888	-5.59931	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/will1243/naka1266	PG	aust1307
Naka'ela	naka1263	NG area	128.516	-2.85543	aust1307/mala1545/nunu1252/thre1238/amal1243/nort3221/ulat1237	ID	aust1307
Nakama	naka1264	NG area	146.782	-6.41424	nucl1709/fini1244/fini1245/erap1240/boan1245	PG	nucl1709
Nakai	naka1265	NG area	140.512	-5.19377	nucl1709/cent2116/awyu1265/okok1235/okkk1242/tang1376	ID	nucl1709
Nake	nake1240	NG area	145.655	-5.09087	nucl1709/mada1298/croi1234/mabu1247/hans1243/uncl1506	PG	nucl1709
Nakwi	nakw1240	NG area	141.601	-4.27412	left1242/nucl1244/nimo1248	PG	left1242
Nalca	nalc1240	NG area	139.883	-4.26068	nucl1709/mekk1240/west2585	ID	nucl1709
Nalik	nali1244	NG area	151.332	-2.94411	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/tung1294	PG	aust1307
Nali	nali1245	NG area	147.202	-2.14273	aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/east2460/koro1314	PG	aust1307
