tip.label	Value
area1240	0
axam1237	0
lena1238	0
motl1237	0
west2519	0
apma1240	0
arak1252	0
matu1261	0
vure1239	0
balu1257	0
bola1250	0
rapa1245	0
samo1305	0
toab1237	0
futu1245	0
meke1243	0
seim1238	0
sina1266	0
unua1237	0
buga1250	0
kwai1243	0
maor1246	0
nese1235	0
kuma1276	0
vera1241	0
koko1269	0
malo1243	0
wall1257	0
west2516	0
xara1244	0
bwat1240	0
kosr1238	0
maee1241	0
papa1265	0
sout2856	0
tahi1242	0
tiri1258	0
urip1239	0
daka1243	0
east2447	0
fiji1243	0
kili1267	0
lala1268	0
patp1243	0
saka1289	0
bier1244	0
kwar1239	0
mudu1242	0
waim1251	0
litz1237	0
loni1238	0
pile1238	0
tutu1241	0
hano1246	0
katb1237	0
mbul1263	0
mere1242	0
east2443	0
niua1240	0
pohn1238	0
ughe1237	0
bign1238	0
gela1263	0
hawa1245	0
sons1242	0
anei1239	0
cemu1238	0
kove1237	0
nyal1254	0
sout2857	0
idun1242	0
tuva1244	0
iaai1238	0
lote1237	0
mini1251	0
nort2845	0
toke1240	0
tung1290	0
kara1486	0
kusa1251	0
mand1440	0
ulit1238	0
bari1286	0
guma1254	0
hoav1238	0
kwam1252	0
louu1245	0
mada1285	0
mais1250	
mana1295	0
seke1241	
sioo1240	0
dobu1241	0
keap1239	0
kuan1248	0
mara1399	0
nali1244	0
nort2839	0
port1285	0
dumb1241	0
lewo1242	0
malu1245	0
mang1401	0
mapo1242	0
naka1262	0
naur1243	0
raro1241	0
sika1261	0
tita1241	0
ayiw1239	1
hali1244	0
leng1259	0
tong1325	
gilb1244	0
moki1238	0
tiga1245	0
yape1248	0
blab1237	0
mato1252	0
neng1238	0
urav1235	0
taku1257	
chek1238	0
lele1270	0
mari1426	0
whit1269	0
ghan1242	0
pulu1242	0
renn1242	0
siee1239	
sout2869	
baro1253	0
mang1403	0
arop1242	0
hula1239	0
leme1238	0
kolu1245	0
rapa1244	0
rotu1241	0
zaba1237	0
awad1244	0
hote1245	0
nang1262	0
saaa1241	
arop1243	0
owaa1237	0
rovi1238	0
aulu1238	0
motu1246	0
orow1242	0
sude1239	1
surs1246	0
tang1347	0
tiko1237	
adze1240	
aree1239	0
gapa1238	0
ling1265	
mask1242	0
emae1237	0
noku1237	
onto1237	0
caro1242	
labu1248	
male1289	0
puka1242	
tane1237	0
anut1237	0
bwai1242	0
mari1428	0
baki1244	
bala1316	
mars1254	
ping1243	0
caac1237	
geda1237	
ghar1239	0
long1395	0
wuvu1239	
dehu1237	0
kele1258	0
muso1238	0
wala1266	0
ajie1238	0
lele1267	0
teop1238	0
ubir1237	0
amar1272	0
nots1237	0
rere1240	0
tean1237	0
vano1237	0
saaa1240	0
sapo1253	0
wole1240	
lusi1240	0
misi1243	0
lihi1237	0
vinm1237	0
karn1252	0
pate1247	0
tali1259	0
aros1241	0
bilb1241	0
lauu1247	0
mort1237	0
midd1327	
muyu1244	1
sata1237	
tang1348	0
mouk1239	0
neha1247	0
bowa1234	0
baba1268	
niue1239	
lamo1244	0
buhu1237	0
iwal1237	0
mafe1237	
chuu1238	0
bugh1239	
sobe1238	
nort2847	0
nati1244	0
lame1260	
lonw1238	
buna1276	0
mang1404	0
sout2859	
akei1237	0
labo1244	0
arib1241	0
urua1242	
nama1268	
nuku1260	
tami1290	0
tolo1255	
tora1259	0
abad1241	
oroh1237	
paam1238	
penr1237	0
mele1250	
weda1241	0
mono1273	0
cent2058	
iama1237	0
mota1237	
tuml1238	0
seng1281	
meng1267	0
natu1246	
tawa1275	0
simb1256	
yabe1254	0
nort2836	
taki1248	0
kaul1240	0
muss1246	0
siar1238	0
unea1237	0
maro1244	0
kair1263	0
bann1247	0
kapi1249	
sisi1250	0
labe1239	
ocea1241	
ngul1236	
mera1242	0
ramo1244	0
nalo1235	
poly1242	
cent2060	
east2449	
